,Date,counts,speed
0,2020-01-01,396.0,1.0121
1,2020-01-02,395.0,1.004
2,2020-01-03,381.0,1.0166
3,2020-01-04,392.0,1.0172
4,2020-01-05,390.0,1.0101
5,2020-01-06,384.0,1.0135
6,2020-01-07,391.0,1.0201
7,2020-01-08,389.0,1.0151
8,2020-01-09,384.0,1.0155
9,2020-01-10,391.0,1.0168
10,2020-01-11,391.0,1.017
11,2020-01-12,385.0,1.015
12,2020-01-13,392.0,1.0167
13,2020-01-14,387.0,1.0174
14,2020-01-15,387.0,1.0189
15,2020-01-16,393.0,1.0178
16,2020-01-17,388.0,1.0182
17,2020-01-18,387.0,1.0178
18,2020-01-19,389.0,1.0177
19,2020-01-20,387.0,1.018
20,2020-01-21,390.0,1.017
21,2020-01-22,391.0,1.0192
22,2020-01-23,390.0,1.021
23,2020-01-24,389.0,1.0197
24,2020-01-25,392.0,1.018
25,2020-01-26,389.0,1.0226
26,2020-01-27,388.0,1.02
27,2020-01-28,391.0,1.0198
28,2020-01-29,388.0,1.0197
29,2020-01-30,390.0,1.0219
30,2020-01-31,388.0,1.0201
31,2020-02-01,390.0,1.0193
32,2020-02-02,388.0,1.0229
33,2020-02-03,388.0,1.023
34,2020-02-04,388.0,1.0194
35,2020-02-05,391.0,1.0228
36,2020-02-06,390.0,1.023
37,2020-02-07,387.0,1.0225
38,2020-02-08,392.0,1.0216
39,2020-02-09,393.0,1.0253
40,2020-02-10,387.0,1.0224
41,2020-02-11,392.0,1.02
42,2020-02-12,389.0,1.022
43,2020-02-13,391.0,1.0259
44,2020-02-14,394.0,1.0229
45,2020-02-15,389.0,1.0244
46,2020-02-16,395.0,1.0289
47,2020-02-17,394.0,1.025
48,2020-02-18,394.0,1.0244
49,2020-02-19,395.0,1.0294
50,2020-02-20,396.0,1.0268
51,2020-02-21,395.0,1.0263
52,2020-02-22,394.0,1.0263
53,2020-02-23,394.0,1.0266
54,2020-02-24,392.0,1.0285
55,2020-02-25,393.0,1.0305
56,2020-02-26,391.0,1.0284
57,2020-02-27,391.0,1.0298
58,2020-02-28,395.0,1.0287
59,2020-02-29,391.0,1.0312
60,2020-03-01,391.0,1.029
61,2020-03-02,396.0,1.0301
62,2020-03-03,392.0,1.0302
63,2020-03-04,396.0,1.0284
64,2020-03-05,395.0,1.032
65,2020-03-06,392.0,1.0318
66,2020-03-07,395.0,1.0284
67,2020-03-08,397.0,1.0319
68,2020-03-09,391.0,1.0359
69,2020-03-10,393.0,1.0298
70,2020-03-11,393.0,1.0294
71,2020-03-12,392.0,1.0318
72,2020-03-13,390.0,1.0301
73,2020-03-14,391.0,1.0321
74,2020-03-15,393.0,1.0305
75,2020-03-16,394.0,1.0287
76,2020-03-17,395.0,1.0285
77,2020-03-18,394.0,1.0278
78,2020-03-19,394.0,1.0262
79,2020-03-20,396.0,1.0263
80,2020-03-21,398.0,1.0254
81,2020-03-22,,
82,2020-03-23,,
83,2020-03-24,,
84,2020-03-25,395.0,1.0274
85,2020-03-26,398.0,1.0296
86,2020-03-27,400.0,1.0252
87,2020-03-28,394.0,1.0234
88,2020-03-29,398.0,1.0282
89,2020-03-30,400.0,1.0255
90,2020-03-31,399.0,1.0252
91,2020-04-01,399.0,1.0272
92,2020-04-02,397.0,1.0266
93,2020-04-03,401.0,1.0264
94,2020-04-04,398.0,1.0289
95,2020-04-05,398.0,1.028
96,2020-04-06,400.0,1.0266
97,2020-04-07,401.0,1.0308
98,2020-04-08,396.0,1.0311
99,2020-04-09,402.0,1.029
100,2020-04-10,400.0,1.0306
101,2020-04-11,400.0,1.0324
102,2020-04-12,402.0,1.0326
103,2020-04-13,401.0,1.0303
104,2020-04-14,402.0,1.0331
105,2020-04-15,,
106,2020-04-16,,
107,2020-04-17,403.0,1.0327
108,2020-04-18,402.0,1.0338
109,2020-04-19,402.0,1.0296
110,2020-04-20,406.0,1.0285
111,2020-04-21,406.0,1.0299
112,2020-04-22,407.0,1.0291
113,2020-04-23,407.0,1.0264
114,2020-04-24,407.0,1.026
115,2020-04-25,404.0,1.027
116,2020-04-26,407.0,1.0289
117,2020-04-27,408.0,1.0274
118,2020-04-28,408.0,1.0297
119,2020-04-29,408.0,1.0288
120,2020-04-30,410.0,1.0276
121,2020-05-01,411.0,1.0297
122,2020-05-02,410.0,1.0277
123,2020-05-03,410.0,1.025
124,2020-05-04,414.0,1.0265
125,2020-05-05,,
126,2020-05-06,409.0,1.024
127,2020-05-07,413.0,1.0262
128,2020-05-08,411.0,1.0286
129,2020-05-09,409.0,1.0271
130,2020-05-10,413.0,1.027
131,2020-05-11,414.0,1.0271
132,2020-05-12,410.0,1.0271
133,2020-05-13,416.0,1.026
134,2020-05-14,414.0,1.0294
135,2020-05-15,415.0,1.0318
136,2020-05-16,417.0,1.0315
137,2020-05-17,417.0,1.0299
138,2020-05-18,418.0,1.0308
139,2020-05-19,420.0,1.0326
140,2020-05-20,415.0,1.0332
141,2020-05-21,417.0,1.0347
142,2020-05-22,420.0,1.0367
